Date,Game Number,Period,Location,Time,Interval,Total Seconds
10/15/16,1,3,Home,56.09,56.09 - 0,3369
10/16/16,2,2,Home,32.03,32.03,1923
10/16/16,2,3,Home,41.11,41.11 - 32.03,2471
10/18/16,3,3,Home,54.1,54.1-41.11,3250
10/18/16,3,3,Home,57.05,57.05 - 0,3425
10/20/16,4,2,Home,31.1,31.1 - 0,1870
10/20/16,4,3,Home,49.1,49.1 - 31.1,2950
10/22/16,5,2,Away,28.4,28.4-0,1720
10/22/16,5,2,Away,35.57,35.57-28.4,2157
10/22/16,5,3,Away,59.25,59.25-35.57,3565
10/23/16,6,1,Away,19.27,19.27-0,1167
10/23/16,6,3,Away,44.19,44.19-19.27,2659
10/25/16,7,n/a,Home,n/a,n/a,na
10/28/16,8,n/a,Home,n/a,n/a,na
10/29/16,9,1,Home,19.54,19.54-0,1194
10/29/16,9,2,Home,37.17,37.17-19.54,2237
11/02/16,10,n/a,Away,n/a,n/a,na
11/03/16,11,n/a,Away,n/a,n/a,na
11/05/16,12,1,Away,16.44,16.44-0,1004
11/05/16,12,2,Away,36.2,36.2-16.44,2180
11/05/16,12,3,Away,46.42,46.2-36.2,2802
11/07/16,13,1,Away,4.22,4.22,262
11/07/16,13,2,Away,36.3,36.3-4.22,2190
11/08/16,14,2,Away,35.18,35.18,2118
11/08/16,14,3,Away,42.29,42.29-35.18,2549
11/08/16,14,3,Away,49.21,49.21-42.29,2961
11/08/16,14,3,Away,53.08,53.08-49.21,3188
11/08/16,14,3,Away,56.54,56.54-53.08,3414
11/10/16,15,3,Away,43.14,43.14,2594
11/13/16,16,1,Home,6.05,6.05,365
11/13/16,16,3,Home,43.26,43.26-6.05,2606
11/13/16,16,3,Home,46.06,46.06-43.26,2766
11/13/16,16,3,Home,58.2,58.02-46.06,3500
11/15/16,17,2,Home,39.19,39.19-0,2359
11/15/16,17,3,Home,53.26,53.26-39.19,3206
11/17/16,18,2,Home,35.45,35.45,2145
11/17/16,18,2,Home,37.58,37.58-35.45,2278
11/19/16,19,1,Home,13.49,13.49,829
11/19/16,19,2,Home,37.03,37.03-13.49,2223
11/19/16,19,2,Home,38.27,38.27-37.03,2307
11/23/16,20,1,Away,3.08,3.08,188
11/23/16,20,2,Away,23.18,23.18-3.08,1398
11/23/16,20,2,Away,23.35,23.35-23.18,1415
11/23/16,20,2,Away,26.49,26.49-23.35,1609
11/25/16,21,1,Away,5.01,5.01,301
11/26/16,22,1,Away,3.46,3.46,226
11/26/16,22,3,Away,41.26,41.26-3.46,2486
11/29/16,23,2,Home,29.23,29.23,1763
11/29/16,23,2,Home,31.22,31.22-29.23,1882
11/29/16,23,3,Home,41.09,41.09-31.22,2469
11/29/16,23,3,Home,42.08,42.08-41.09,2528
11/29/16,23,3,Home,57.25,57.25-42.08,3445
12/01/16,24,3,Home,53,53,3180
12/03/16,25,1,Home,13.03,13.03,783
12/03/16,25,2,Home,22.37,22.37-13.03,1357
12/06/16,26,2,Away,21.1,21.1,1270
12/06/16,26,3,Away,43.58,43.58-21.1,2638
12/08/16,27,1,Away,3.5,3.5,230
12/08/16,27,1,Away,9.03,9.03-3.5,543
12/08/16,27,2,Away,26.01,26.01-9.03,1561
12/08/16,27,2,Away,39.59,39.59-26.01,2399
12/08/16,27,3,Away,53.58,53.58-39.59,3238
12/10/16,28,3,Away,48.06,48.06,2886
12/10/16,28,3,Away,51.45,51.45-48.06,3105
12/11/16,29,n/a,Away,n/a,n/a,na
12/13/16,30,1,Away,7.35,7.35,455
12/13/16,30,2,Away,24.11,24.11-7.35,1451
12/13/16,30,2,Away,25.24,25.24-24.11,1524
12/13/16,30,2,Away,28.47,28.47-25.24,1727
12/13/16,30,2,Away,34.19,34.19-28.47,2059
12/13/16,30,3,Away,54.1,54.1-34.19,3250
12/16/16,31,2,Home,21.37,21.37,1297
12/16/16,31,2,Home,33.25,33.25-21.37,2005
12/16/16,31,3,Home,47.46,47.46-22.35,2866
12/16/16,31,3,Home,59.13,59.13-47.46,3553
12/18/16,32,3,Home,42.51,42.51,2571
12/18/16,32,3,Home,47.42,47.42-42.51,2862
12/18/16,32,3,Home,58.51,58.51-47.42,3531
12/20/16,33,2,Home,29.18,29.18,1758
12/20/16,33,3,Home,43.19,43.19-29.18,2599
12/20/16,33,3,Home,46.41,46.41-43.19,2801
12/20/16,33,3,Home,57.46,57.46-46.41,3466
12/22/16,34,1,Home,3.54,3.54,234
12/23/16,35,1,Away,11.35,11.35,695
12/28/16,36,1,Home,2.43,2.43,163
12/28/16,36,2,Home,20.23,20.23-2.43,1223
12/30/16,37,2,Home,27.59,27.59,1679
12/30/16,37,3,Home,42.02,42.02-27.59,2522
12/31/16,38,2,Away,25.43,25.43,1543
12/31/16,38,3,Away,44.57,44.57-25.43,2697
1/02/17,39,2,Home,24.48,24.48,1488
1/02/17,39,2,Home,38.15,38.15-24.48,2295
1/02/17,39,3,Home,56.23,56.23-38.15,3383
1/04/17,40,1,Home,9.51,9.51,591
1/04/17,40,3,Home,46.53,46.53-9.51,2813
1/04/17,40,3,Home,53.43,53.43-46.53,3223
1/06/17,41,1,Home,10.49,10.49,649
1/06/17,41,1,Home,13.07,13.07-10.49,787
1/06/17,41,2,Home,39.38,39.38-13.07,2378
1/06/17,41,3,Home,43.18,43.18-39.38,2598
1/07/17,42,2,Away,23.04,23.04,1384
1/10/17,43,3,Away,59.11,59.11,3551
1/12/17,44,1,Away,9.21,9.21,561
1/12/17,44,2,Away,21.51,12.3,1311
1/12/17,44,2,Away,30.01,8.5,1801
1/12/17,44,2,Away,32.46,2.45,1966
1/15/17,45,2,Home,26.31,26.31,1591
1/17/17,46,3,Home,52.28,52.28,3148
1/20/17,47,2,Home,25.5,25.5,1550
1/20/17,47,3,Home,43.07,17.57,2587
1/22/17,48,3,Away,45.03,45.03,2703
1/22/17,48,3,Away,45.49,0.46,2749
1/25/17,49,1,Away,6.55,6.55,415
1/25/17,49,2,Away,27.04,20.49,1624
1/25/17,49,3,Away,51.46,24.42,3106
1/26/17,50,n/a,Away,n/a,n/a,na
2/02/17,51,3,Home,46.35,46.35,2795
2/04/17,52,1,Home,17.52,17.52,1072
2/04/17,52,2,Home,28.36,10.84,1716
2/04/17,52,2,Home,39.17,10.81,2357
2/07/17,53,1,Away,6.01,6.01,361
2/07/17,53,3,Away,52.06,46.05,3126
2/09/17,54,2,Away,20.44,20.44,1244
2/09/17,54,2,Away,28.53,8.09,1733
2/09/17,54,3,Away,50.47,21.94,3047
2/11/17,55,1,Away,4.56,4.56,296
2/11/17,55,2,Away,39.59,35.03,2399
2/11/17,55,3,Away,54.23,14.64,3263
2/12/17,56,1,Away,9.07,9.07,547
2/12/17,56,1,Away,16.37,7.3,997
2/12/17,56,2,Away,25,8.63,1500
2/12/17,56,2,Away,35.33,10.33,2133
2/14/17,57,n/a,Away,n/a,n/a,na
2/16/17,58,1,Away,10.15,10.15,615
2/16/17,58,2,Away,28.27,18.12,1707
2/16/17,58,3,Away,46.49,18.22,2809
2/18/17,59,1,Home,12.44,12.44,764
2/19/17,60,2,Home,23.43,23.43,1423
2/19/17,60,2,Home,32.42,8.99,1962
2/25/17,61,2,Home,32.02,32.02,1922
2/28/17,62,2,Home,21.55,21.55,1315
2/28/17,62,3,Home,57.14,35.59,3434
3/02/17,63,1,Away,7.38,7.38,458
3/04/17,64,1,Away,11.37,11.37,697
3/04/17,64,1,Away,18.28,6.91,1108
3/04/17,64,2,Away,26.38,8.1,1598
3/04/17,64,2,Away,32.43,6.05,1963
3/05/17,65,1,Away,14.09,14.09,849
3/05/17,65,2,Away,26.35,12.26,1595
3/07/17,66,3,Home,52.49,52.49,3169
3/09/17,67,2,Home,21.35,21.35,1295
3/09/17,67,2,Home,23.31,1.96,1411
3/09/17,67,3,Home,59.4,36.09,3580
3/11/17,68,n/a,Home,n/a,n/a,na
3/13/17,69,1,Home,15.47,15.47,947
3/13/17,69,1,Home,17.05,1.58,1025
3/13/17,69,2,Home,34.19,17.14,2059
3/16/17,70,1,Home,13.27,13.27,807
3/16/17,70,2,Home,39.58,26.31,2398
3/18/17,71,n/a,Away,n/a,n/a,na
3/21/17,72,1,Away,19,19,1140
3/21/17,72,2,Away,21.33,2.33,1293
3/21/17,72,2,Away,27.45,6.12,1665
3/21/17,72,3,Away,42.15,14.7,2535
3/23/17,73,1,Away,13.38,13.38,818
3/25/17,74,2,Away,20.19,20.19,1219
3/25/17,74,2,Away,25.4,5.21,1540
3/25/17,74,2,Away,31.51,6.11,1911
3/25/17,74,2,Away,33.37,1.86,2017
3/26/17,75,1,Away,19.38,19.38,1178
3/28/17,76,3,Home,42.34,42.34,2554
3/31/17,77,n/a,Home,n/a,n/a,na
4/02/17,78,3,Home,56.07,56.07,3367
4/04/17,79,3,Away,43.3,43.3,2610
4/06/17,80,1,Away,7.51,7.51,471
4/06/17,80,3,Away,41.47,33.96,2507
4/06/17,80,3,Away,52.4,10.93,3160
4/08/17,81,2,Home,36.36,36.36,2196
4/08/17,81,3,Home,59.2,22.84,3560
4/09/17,82,2,Away,22,22,1320
4/09/17,82,3,Away,42.35,20.35,2555
